date,AQI,co,no,no2,o3,so2,pm2_5,pm10,nh3
2024-02-14,1,397.21,2.21,22.62,27.18,4.65,7.52,10.31,1.87
2024-02-15,2,480.65,10.28,23.65,32.19,6.56,15.5,19.13,4.62
2024-02-16,2,580.79,12.41,34.62,4.96,9.66,17.96,21.3,3.2
2024-02-17,2,460.62,4.19,28.79,60.08,8.94,10.67,15.54,3.23
2024-02-18,1,357.15,1.29,17.82,54.36,3.28,6.52,8.15,1.22
2024-02-19,1,423.91,2.77,23.99,38.98,5.78,8.07,10.14,2.6
2024-02-20,2,480.65,4.19,30.85,26.82,7.75,13.51,18.63,3.07
2024-02-21,1,377.18,1.72,19.19,40.05,3.99,9.17,12.24,2.6
2024-02-22,1,290.39,0.55,10.2,59.37,1.82,4.17,4.96,0.66
2024-02-23,1,300.41,1.37,9.77,59.37,2.35,2.66,3.69,1.49
2024-02-24,1,310.42,1.03,12.34,58.65,2.86,3.54,5.23,2.37
2024-02-25,1,300.41,0.76,11.31,55.79,2.06,2.81,3.63,1.12
2024-02-26,2,574.11,17.21,25.36,7.87,7.87,16.15,18.64,6.65
2024-02-27,2,447.27,4.41,29.82,29.68,7.45,19.17,21.31,5.89
2024-02-28,3,907.9,38.89,39.76,15.2,16.21,42.67,57.23,5.64
2024-02-29,1,380.52,1.87,20.91,37.55,3.87,7.99,10.22,1.42
2024-03-01,2,290.39,1.29,7.8,74.39,1.73,2.39,3.68,1.65
2024-03-02,2,283.72,0.6,8.14,67.23,1.46,1.93,2.56,0.77
2024-03-03,2,547.41,7.93,40.78,29.33,10.13,22.68,26.26,4.5
2024-03-04,3,794.41,37.1,31.53,21.64,10.25,40.12,53.13,6.4
2024-03-05,2,310.42,1.96,10.62,72.96,2.77,3.15,4.34,1.99
2024-03-06,3,807.76,16.99,63.06,4.96,15.14,34.12,37.8,11.02
2024-03-07,2,393.87,8.05,16.28,31.47,4.89,21.9,24.42,4.75
2024-03-08,2,337.12,3.05,13.71,64.37,3.4,12.85,15.05,5.26
2024-03-09,2,273.7,0.5,6.51,79.39,1.33,1.6,2.24,2.72
2024-03-10,3,854.49,35.76,41.13,5.05,13.47,34.53,42.68,4.81
2024-03-11,2,460.62,6.2,29.47,30.4,7.51,14.43,18.27,4.43
2024-03-12,2,447.27,4.41,22.28,33.62,4.35,12.56,14.91,1.66
2024-03-13,2,280.38,1.33,7.54,68.67,1.91,2.7,4.62,2.25
2024-03-14,2,514.03,14.98,27.08,36.12,8.46,19,26.61,4.43
2024-03-15,2,263.69,0.23,5.83,71.53,0.95,1,1.47,0.91
